Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Apartment;Tijuca;2;1;1;80;1800;600;21
Apartment;Recreio dos Bandeirantes;2;1;1;90;2300;700;1200
Apartment;Recreio dos Bandeirantes;3;2;1;83;1600;845;157
Apartment;Copacabana;1;0;0;35;3000;700;80
Commercial Set;Barra da Tijuca;0;1;0;40;1700;1500;315
Standard Land;Vigário Geral;0;0;0;1716;17700;;
Shopping Store/Commercial Center;Barra da Tijuca;0;0;0;44;2500;1156;473
Apartment;Barra da Tijuca;1;1;0;42;1000;740;
Apartment;Copacabana;3;1;1;150;5000;1800;
Commercial Set;Centro;0;0;0;50;2250;1300;
Commercial Set;Campo Grande;0;1;0;19;500;350;
Apartment;Recreio dos Bandeirantes;2;1;2;74;2300;1350;
Apartment;Copacabana;4;1;4;430;14000;3100;800
Apartment;Del Castilho;2;1;1;51;1600;472;29
Commercial Set;Jardim Botânico;0;1;0;46;3500;1160;340
Commercial Set;Vila da Penha;0;0;0;24;700;620;
Commercial Set;Botafogo;0;2;0;145;6500;1800;824
Condominuim House;Barra da Tijuca;5;8;5;1100;40000;2000;16000
Apartment;Leblon;4;3;1;170;10000;3076;550
Apartment;Ipanema;3;0;0;85;3600;950;145
House;Bangu;1;0;0;40;600;;
Commercial Set;Botafogo;0;0;0;10;7960;;
Apartment;Pechincha;2;1;0;58;1250;445;58
Apartment;Leblon;4;2;1;215;12000;2545;670
Commercial Set;Barra da Tijuca;0;5;0;235;14000;5654;2248
Apartment;Leblon;2;3;1;75;4200;819;209
Whole Building;Saúde;0;0;0;1731;50000;;50
Apartment;Ipanema;5;2;2;302;16000;2100;
Condominuim House;Taquara;3;1;0;200;2000;130;480
Commercial Set;Centro;0;4;0;250;3500;2500;506
Apartment;Méier;2;1;0;76;1200;858;75
Flat;Barra da Tijuca;1;1;1;55;5000;2600;
Apartment;Recreio dos Bandeirantes;2;2;1;100;2200;580;
Apartment;Recreio dos Bandeirantes;3;0;1;200;3000;1170;300
Apartment;Leme;2;1;0;82;3500;1128;26
Apartment;Barra da Tijuca;3;2;1;126;3000;1500;233
Apartment;Freguesia (Jacarepaguá);3;3;2;230;2500;1888;4400
Apartment;Realengo;2;0;0;55;800;;
House;Quintino Bocaiúva;2;0;0;60;1200;;
House;Campo Grande;2;1;2;100;1500;;30
Apartment;Ipanema;3;3;1;306;17900;3200;12271
Store/Hall;Centro;0;0;0;100;1500;550;265
Apartment;Gávea;3;1;0;87;3400;1250;120
Store/Hall;Ipanema;0;0;0;32;6500;;500
Apartment;Copacabana;3;0;0;107;3200;600;150
Apartment;Recreio dos Bandeirantes;2;1;1;90;1700;880;177
Apartment;Engenho de Dentro;1;1;0;50;800;250;
Apartment;Barra da Tijuca;4;3;4;292;10000;3800;8000
Commercial Set;Barra da Tijuca;0;2;0;72;1800;2293;
Apartment;Tijuca;3;1;1;80;2200;700;200
Apartment;Copacabana;3;0;1;124;3500;860;
House;Jardim Botânico;4;4;4;452;20000;;1749
Apartment;Barra da Tijuca;3;2;1;106;3400;1630;280
Loft;Copacabana;1;0;0;56;1500;678;56
Apartment;Barra da Tijuca;4;3;3;247;14000;4400;1000
Apartment;Ipanema;3;1;1;100;10000;;
Commercial Set;Barra da Tijuca;0;1;0;36;1500;800;150
Apartment;Recreio dos Bandeirantes;2;1;1;77;1500;770;100
Commercial Set;Barra da Tijuca;0;1;0;25;900;170;
Apartment;Recreio dos Bandeirantes;2;1;1;73;1300;926;
Commercial Set;Glória;0;2;0;100;3900;2140;381
Apartment;Jardim Botânico;2;0;0;70;2300;812;147
Apartment;Olaria;2;0;0;62;700;230;
Kitchenette;Copacabana;1;0;0;30;1600;390;24
Apartment;Copacabana;3;1;0;160;3300;1741;
Commercial Set;Centro;0;1;0;57;5187;1596;210
Commercial Set;Campo Grande;0;0;0;30;900;342;
Apartment;Ramos;2;0;0;78;1200;;
House;Curicica;2;0;1;70;1500;;89
Commercial Set;Centro;0;0;0;80;300;;
Kitchenette;Centro;1;0;0;28;600;369;
Apartment;Barra da Tijuca;2;1;1;50;1700;484;38
Commercial Set;Campo Grande;0;0;0;35;1500;480;
Commercial Set;Jardim Botânico;0;1;0;29;2500;760;144
Apartment;São Cristóvão;2;0;0;60;1500;660;
Apartment;Barra da Tijuca;2;1;1;80;3500;1100;
Apartment;Glória;1;0;0;52;1700;560;
Store/Hall;Freguesia (Jacarepaguá);0;1;0;50;2500;1000;156
Apartment;Recreio dos Bandeirantes;3;3;1;190;4500;1150;570
Apartment;Copacabana;3;0;1;100;4500;750;300
Apartment;Higienópolis;2;1;0;88;1100;400;44
Commercial Set;Centro;0;0;0;1550;30000;20529;62854
Commercial Set;Centro;0;0;0;440;37400;5600;
Apartment;Barra da Tijuca;1;2;1;90;3200;982;316
Apartment;Copacabana;2;0;0;75;2000;677;131
Apartment;Tijuca;3;1;1;80;1900;982;113
House;Grajaú;3;0;1;73;2000;;100
Flat;Botafogo;1;1;1;45;2400;700;100
Apartment;Tijuca;2;1;0;72;2100;875;120
House;Barra da Tijuca;3;2;2;220;4900;675;
Shed/Warehouse;Campo Grande;0;0;0;350;10000;;
Apartment;Tijuca;2;1;1;86;2500;714;
House;Piedade;1;0;0;40;750;;16
Shopping Store/Commercial Center;Centro;0;0;0;25;1400;839;121
Apartment;Méier;1;1;0;54;1300;900;14
Commercial Set;Barra da Tijuca;0;1;0;34;1500;1139;328
Condominuim House;Barra da Tijuca;5;6;2;703;15000;;
Apartment;Tijuca;2;1;0;68;1300;822;
Apartment;Barra da Tijuca;4;3;2;256;11500;4068;497
Apartment;Barra da Tijuca;4;4;4;492;7000;6000;1040
Apartment;Leme;2;0;0;80;5000;943;290
Commercial Set;Barra da Tijuca;0;2;0;40;1000;1350;150
Commercial Set;Botafogo;0;0;0;250;11000;;780
Commercial Set;Barra da Tijuca;0;1;0;32;1100;854;138
Commercial Set;Centro;0;0;0;300;14000;2000;
Commercial Set;Centro;0;0;0;195;12000;4747;
Apartment;Ipanema;2;1;0;67;2200;1600;148
Apartment;Barra da Tijuca;2;1;1;70;2000;1295;190
Apartment;Gávea;1;0;0;45;2180;500;120
Apartment;Leblon;4;2;4;200;9500;2713;1153
Apartment;Barra da Tijuca;2;1;1;65;3000;790;213
Apartment;Leblon;3;3;1;166;8500;3500;680
Commercial Set;Barra da Tijuca;0;1;0;29;600;940;157
Commercial Set;Barra da Tijuca;0;1;0;36;1200;1273;366
Apartment;Gardênia Azul;1;1;0;39;790;;
Apartment;São Conrado;4;4;4;450;21000;5800;
Apartment;Barra da Tijuca;2;2;1;115;9000;2470;4500
Apartment;Leblon;2;0;1;55;3500;1245;142
Apartment;Gávea;4;2;1;178;5800;1462;409
Flat;Barra da Tijuca;1;1;0;55;2200;1624;260
House;Tanque;3;1;0;230;2500;;967
Whole Building;Saúde;0;0;0;1204;50000;;50
House;Vargem Pequena;2;0;2;80;1800;;
Commercial Set;Barra da Tijuca;0;18;0;671;74000;18117;32100
Apartment;Riachuelo;3;0;0;99;980;425;13
Commercial Set;Barra da Tijuca;0;1;0;98;3000;872;
Apartment;Barra da Tijuca;5;4;5;1100;24000;8465;5529
Apartment;Barra da Tijuca;3;2;1;106;2250;1772;2520
Apartment;Benfica;2;1;0;55;1000;283;13
Commercial Set;Centro;0;0;0;56;700;1353;196
Apartment;Recreio dos Bandeirantes;3;1;1;78;1500;770;108
Apartment;Grajaú;1;0;0;40;1000;460;25
Apartment;Vicente de Carvalho;2;1;0;50;1100;300;
Apartment;Ipanema;3;1;1;160;7800;2600;461
Apartment;Ipanema;3;1;1;120;4700;1400;
Apartment;Oswaldo Cruz;2;0;0;50;650;60;
Apartment;Laranjeiras;2;1;1;82;2800;954;104
Apartment;Leblon;2;1;1;108;5000;2000;530
Apartment;Copacabana;1;0;0;44;1500;531;25
Shopping Store/Commercial Center;Recreio dos Bandeirantes;0;1;0;0;1600;450;
Condominuim House;Freguesia (Jacarepaguá);4;4;3;480;7000;600;2500
Apartment;Tijuca;2;1;1;80;2000;500;94
Apartment;Leblon;1;0;0;45;3000;570;130
Whole Building;Botafogo;0;0;0;128;8000;;803
Apartment;Leblon;3;1;1;125;8000;1900;
Commercial Set;Botafogo;0;0;0;160;6000;2823;
Commercial Set;Barra da Tijuca;0;18;0;930;93000;22320;
Flat;Jacarepaguá;2;1;2;64;2500;1500;100
Apartment;Barra da Tijuca;4;2;4;378;10000;2800;21000
Apartment;Barra da Tijuca;2;2;2;220;3500;1980;10
Apartment;Copacabana;1;0;0;21;1400;439;25
Commercial Set;Centro;0;0;0;115;2700;3400;
Apartment;Barra da Tijuca;3;3;2;240;9500;3526;1502
Apartment;Ipanema;2;0;1;95;7000;2432;365
Condominuim House;Barra da Tijuca;5;4;3;622;10000;1380;1486
Apartment;Leme;4;1;2;310;12000;2500;460
Apartment;Copacabana;2;0;0;85;2500;1117;166
Apartment;Méier;1;1;0;55;800;400;17
Store/Hall;Méier;0;0;0;60;1500;;
Apartment;Barra da Tijuca;2;1;1;95;2500;1090;278
Apartment;Tijuca;2;1;1;70;2500;769;
Flat;Ipanema;2;1;1;80;10000;4000;420
Apartment;Botafogo;2;1;0;96;2980;695;179
Apartment;Tijuca;2;1;1;100;3100;700;
Apartment;Copacabana;2;0;0;80;2600;764;
Whole Building;Curicica;0;6;0;600;9000;;
Apartment;Copacabana;4;1;0;210;5500;2890;395
Apartment;Grajaú;1;1;0;58;1100;670;360
Apartment;Grajaú;2;1;0;60;1500;407;47
Whole Building;Centro;0;0;0;1500;73000;;
Apartment;Humaitá;3;1;1;160;3300;1125;230
Commercial Set;Barra da Tijuca;0;2;0;45;2000;1200;150
Apartment;Taquara;2;1;0;50;1000;400;135
Apartment;Recreio dos Bandeirantes;3;1;1;92;2000;675;1100
Shed/Warehouse;Olaria;0;0;0;1200;15000;;
Apartment;Ipanema;2;1;0;86;5500;2000;
Apartment;Copacabana;1;1;0;47;2500;900;500
Apartment;Barra da Tijuca;2;1;1;63;2800;1320;145
Apartment;Recreio dos Bandeirantes;2;1;1;72;1600;700;55
Shopping Store/Commercial Center;Barra da Tijuca;0;1;0;61;4500;800;
Apartment;Recreio dos Bandeirantes;3;2;1;144;2791;1582;2580
Condominuim House;Barra da Tijuca;7;6;6;850;25000;2200;25000
Apartment;Copacabana;4;1;2;270;10000;2620;470
Loft;Leme;1;0;0;35;3500;450;50
Commercial Set;Benfica;0;0;0;31;500;550;
Apartment;Copacabana;3;1;1;100;3000;1200;
Apartment;Grajaú;3;1;1;125;1900;1000;190
Apartment;Barra da Tijuca;4;2;2;191;3500;1100;550
Commercial Set;Leblon;0;0;0;30;3300;754;177
Shed/Warehouse;Bonsucesso;0;0;0;1900;10000;;
Apartment;Leme;3;1;1;100;4500;970;165
Apartment;Ipanema;4;3;4;480;37000;9500;
Commercial Set;Irajá;0;0;0;30;900;;
Apartment;Ipanema;3;1;1;120;5800;1700;139
Apartment;Barra da Tijuca;3;2;2;189;9500;1700;
Commercial Set;Centro;0;1;0;32;1099;497;84
Apartment;Leme;3;1;1;114;4800;1150;
Commercial Set;Centro;0;0;0;303;7000;4769;
Commercial Set;Botafogo;0;7;0;423;30000;11235;1758
Apartment;Barra da Tijuca;3;1;1;80;2800;1350;189
Apartment;Gávea;3;0;1;115;2700;880;178
Apartment;Botafogo;2;1;1;85;3900;900;
Apartment;Copacabana;3;1;0;200;6800;1700;520
Apartment;Recreio dos Bandeirantes;2;2;1;85;2400;500;
Apartment;São Cristóvão;2;0;0;62;1200;480;14
Commercial Set;Centro;0;0;0;262;3000;4526;13000
Apartment;Freguesia (Jacarepaguá);2;2;1;144;2400;938;
Commercial Set;Barra da Tijuca;0;2;0;54;2800;1250;
Apartment;Recreio dos Bandeirantes;2;1;0;52;2200;;
Apartment;Ipanema;3;2;1;170;6300;2200;495
Apartment;Botafogo;3;1;1;101;5500;1100;
Condominuim House;Barra da Tijuca;5;2;5;810;26000;1550;3256
Village House;Jacarepaguá;2;1;1;70;1200;;
Apartment;Copacabana;2;0;1;70;4100;710;30
Apartment;Vila Isabel;2;0;0;76;1500;250;47
Apartment;Botafogo;1;0;0;33;1350;480;60
Apartment;Barra da Tijuca;1;1;1;65;6000;1180;3000
Apartment;Tijuca;2;0;0;60;1700;487;49
Commercial Set;Del Castilho;0;1;0;29;1200;779;
Apartment;Leblon;3;1;1;150;8500;2055;399
Apartment;Copacabana;1;0;0;45;1700;470;58
Apartment;Ipanema;3;2;1;140;6300;2200;387
Apartment;Humaitá;3;0;0;103;3500;840;175
Apartment;Barra da Tijuca;4;3;4;233;11000;3200;500
Apartment;Ipanema;3;2;2;260;40000;6147;978
Apartment;Leblon;3;1;0;100;4600;1153;302
Store/Hall;Centro;0;0;0;485;9000;;3528
Flat;Ipanema;2;1;2;80;12000;3300;
Apartment;Copacabana;3;0;0;110;3500;650;
Commercial Set;Copacabana;0;0;0;20;800;329;134
Apartment;Laranjeiras;3;0;0;80;1800;980;103
Standard Land;Cascadura;2;0;0;672;2800;;
Apartment;Ipanema;3;2;1;130;5000;2107;402
Whole Building;Penha;0;1;0;1800;10000;;500
Apartment;Vista Alegre;2;0;0;60;880;100;
Condominuim House;Barra da Tijuca;5;7;5;1150;40000;2200;
Apartment;Copacabana;3;1;0;110;3300;794;
Apartment;Barra da Tijuca;3;2;2;130;5700;800;450
Apartment;Flamengo;3;2;1;98;3000;805;179
Commercial Set;Flamengo;0;7;0;670;50250;16750;3276
Apartment;Copacabana;2;2;1;105;5000;1000;
Apartment;Copacabana;2;1;0;79;2600;737;187
Apartment;Cachambi;2;1;1;62;1300;650;126
House;Jardim Sulacap;2;2;1;70;1500;;
Condominuim House;Vargem Pequena;3;2;3;260;5000;350;150
Commercial Set;Centro;0;0;0;21;480;320;87
Apartment;Largo do Machado;1;0;0;40;1300;335;
Apartment;Gávea;2;1;1;61;3100;891;198
Apartment;Barra da Tijuca;2;2;2;75;2000;1396;1340
Apartment;Itanhangá;2;0;0;56;900;648;27
Commercial Set;Barra da Tijuca;0;1;0;120;3000;1256;1220
Apartment;Maracanã;2;1;0;65;1500;747;70
Apartment;Jardim América;2;0;0;70;750;;
Village House;Engenho de Dentro;3;0;0;100;2000;;
Apartment;Gávea;2;1;0;65;3500;713;
Apartment;Barra da Tijuca;2;1;1;85;2500;1380;
Commercial Set;Centro;0;0;0;770;30000;12410;2118
Condominuim House;Barra da Tijuca;6;6;4;1100;34009;;
Apartment;Botafogo;1;1;0;50;2000;854;240
Apartment;Gávea;3;1;0;86;3300;1050;
Condominuim House;Cachambi;1;1;0;70;1000;150;13
Commercial Set;Centro;0;0;0;40;750;800;
Commercial Set;Glória;0;10;0;426;15000;7000;
Shed/Warehouse;Penha Circular;0;5;0;300;2500;;32
Apartment;Copacabana;2;1;1;85;2950;620;159
Apartment;Tijuca;3;1;1;145;2800;950;154
Apartment;Senador Vasconcelos;2;1;0;56;650;260;
Apartment;Copacabana;2;1;0;130;4500;1150;270
Apartment;Leblon;4;1;1;182;9500;3150;630
Commercial Set;Méier;0;0;0;15;400;586;53
Apartment;Ipanema;4;1;1;205;23000;2840;
Apartment;Tijuca;2;0;0;80;1400;850;
Apartment;Recreio dos Bandeirantes;2;1;1;70;1600;960;
Apartment;Barra da Tijuca;4;3;2;480;8500;2500;
Apartment;São Conrado;2;1;1;100;2800;755;
Flat;Ipanema;2;2;2;231;10000;4812;1147
Commercial Set;Ipanema;0;4;0;326;29000;5921;1794
Apartment;Jardim Botânico;1;0;1;45;2200;650;
House;Urca;5;3;3;350;16000;;500
Shed/Warehouse;Campo Grande;0;0;0;4799;91184;13197;3599
Apartment;Tijuca;3;1;0;96;1750;950;118
Apartment;Botafogo;3;1;1;87;3200;1038;176
Apartment;Ipanema;2;1;1;90;7000;2800;280
Apartment;Recreio dos Bandeirantes;2;1;1;70;1800;650;80
Apartment;Ipanema;5;1;2;374;16000;3972;1309
Store/Hall;Barra da Tijuca;0;1;0;80;3500;2173;500
Apartment;Centro;2;0;0;70;1200;700;50
Whole Building;Higienópolis;0;0;0;600;6500;;4306
Commercial Set;Centro;0;0;0;66;1400;2193;334
Condominuim House;Barra da Tijuca;5;7;5;780;18000;2081;1540
Apartment;Campo Grande;3;1;0;50;1100;300;
Commercial Set;Centro;0;3;0;400;32000;6800;
Commercial Set;Barra da Tijuca;0;36;0;1200;83990;44000;
Apartment;Copacabana;2;0;1;75;2600;620;180
Commercial Set;Centro;0;0;0;530;9000;4738;1797
Apartment;Copacabana;3;1;0;92;3900;1064;140
Flat;Leblon;2;1;1;70;6000;1380;3228
Apartment;Copacabana;4;2;2;389;12400;4133;11536
Shed/Warehouse;Gamboa;0;0;0;274;3000;350;1355
Commercial Set;Barra da Tijuca;1;1;0;38;1600;935;217
Apartment;Ipanema;2;0;0;56;2900;954;168
Apartment;Barra da Tijuca;4;4;4;429;25000;;
Apartment;Barra da Tijuca;3;2;1;117;3000;17966;2765
Store/Hall;Campo Grande;0;0;0;108;4000;;
Apartment;Freguesia (Jacarepaguá);2;1;0;59;1400;390;40
Flat;Ipanema;1;1;0;50;2500;2300;350
Apartment;Barra da Tijuca;2;2;2;110;3991;1560;2800
Commercial Set;Barra da Tijuca;0;1;0;32;2000;700;210
Apartment;Barra da Tijuca;3;1;1;82;2300;850;140
Commercial Set;Madureira;0;0;0;30;600;150;1750
Apartment;Copacabana;3;0;1;120;3000;820;150
Commercial Set;Barra da Tijuca;0;7;0;254;19000;6747;1540
Apartment;São Conrado;3;3;3;270;22000;2800;1300
Commercial Set;Barra da Tijuca;0;1;0;35;1450;790;188
Store/Hall;Jardim Botânico;0;0;0;120;21850;;
Apartment;Recreio dos Bandeirantes;2;1;1;91;1700;1020;182
Apartment;Vila Isabel;1;0;0;35;1100;455;
Apartment;Barra da Tijuca;3;1;1;92;2800;1200;
Apartment;Barra da Tijuca;2;1;1;75;2500;2265;511
Apartment;Méier;3;2;1;80;1600;1300;850
Apartment;Recreio dos Bandeirantes;2;2;1;80;2500;1700;262
Apartment;Recreio dos Bandeirantes;3;4;3;194;3000;1183;498
Apartment;Ipanema;2;0;2;85;4500;1300;161
Commercial Set;Freguesia (Jacarepaguá);0;1;0;21;900;534;68
Apartment;Copacabana;4;1;4;387;18000;2700;1000
Apartment;Praça Seca;1;1;0;46;700;300;107
Commercial Set;Jardim Botânico;0;0;0;30;2000;970;185
Apartment;Ipanema;3;1;1;80;4500;1500;239
Apartment;Laranjeiras;2;0;0;95;2100;766;
Commercial Set;Leblon;0;3;0;120;20000;2400;6943
Commercial Set;Barra da Tijuca;0;0;0;26;1600;401;
Apartment;Barra da Tijuca;4;2;1;160;6000;1620;530
Commercial Set;Ipanema;0;0;0;80;7000;1068;130
Commercial Set;Barra da Tijuca;0;1;0;42;2500;1570;288
Commercial Set;Centro;0;0;0;659;51464;11547;
Kitchenette;Copacabana;1;0;0;27;800;626;20
Apartment;Recreio dos Bandeirantes;4;3;1;180;4000;800;350
Apartment;Lagoa;3;1;1;151;8000;1850;850
Apartment;Recreio dos Bandeirantes;2;1;1;49;1800;650;
Flat;Flamengo;2;1;0;87;2900;1285;468
Shed/Warehouse;Pavuna;0;6;0;1562;37492;10084;732
Flat;Ipanema;1;1;1;45;4000;2425;271
Commercial Set;Centro;0;0;0;540;22000;;63
Apartment;Barra da Tijuca;5;4;5;580;20000;4600;1100
Standard Land;Guaratiba;0;0;0;1800;1500;;
Apartment;Barra da Tijuca;2;1;0;66;3000;1550;380
Store/Hall;Barra da Tijuca;0;1;0;77;2500;2173;4993
Apartment;Barra da Tijuca;1;1;0;67;1850;900;232
Apartment;Botafogo;1;0;1;45;1600;270;77
Apartment;Jardim Guanabara;1;1;0;44;1100;230;48
Commercial Set;Gardênia Azul;0;0;0;150;2800;;
Apartment;Copacabana;2;0;0;80;3000;697;117
Store/Hall;Leblon;0;0;0;49;5000;2180;387
Commercial Set;Inhaúma;0;1;0;30;900;750;35
Condominuim House;Bangu;2;0;0;92;750;;
Apartment;Ipanema;3;1;1;170;21000;2300;400
Commercial Set;Centro;0;0;0;565;36000;13990;3446
Loft;Barra da Tijuca;1;1;0;50;1000;2050;340
Apartment;Recreio dos Bandeirantes;3;2;1;85;1200;860;
Apartment;Barra da Tijuca;2;2;1;105;6000;1900;270
Commercial Set;Centro;0;0;0;49;900;650;83
Apartment;Humaitá;3;1;0;110;3800;1286;220
Commercial Set;Jacarepaguá;0;1;0;21;1200;350;10
Apartment;Barra da Tijuca;4;2;1;141;9000;1452;687
House;Jardim Botânico;4;1;2;500;15000;;450
Apartment;Leme;3;1;2;200;12000;1800;530
Apartment;Ipanema;2;0;0;70;3500;300;
Commercial Set;Glória;0;6;0;320;15000;7400;
Garage;Centro;0;0;0;0;300;;78
Apartment;Lagoa;4;3;1;200;7000;2000;586
Apartment;Botafogo;2;1;1;78;5500;800;149
Apartment;Pechincha;2;0;0;60;800;240;
Commercial Set;Barra da Tijuca;0;1;0;30;1000;950;157
Apartment;Barra da Tijuca;3;2;1;110;4500;2600;600
Apartment;Glória;1;0;0;50;2100;;27
Commercial Set;Barra da Tijuca;0;2;0;65;1500;1475;264
Apartment;Tijuca;2;0;0;60;900;456;20
Condominuim House;Jardim Botânico;4;5;4;845;35000;;1794
Apartment;Botafogo;1;0;0;35;1700;620;25
Commercial Set;Campo Grande;0;1;0;48;4000;1650;
Apartment;Freguesia (Jacarepaguá);3;1;1;82;1800;984;116
Apartment;Copacabana;1;0;0;36;1800;605;68
Apartment;Freguesia (Jacarepaguá);3;2;2;118;2900;1283;214
Apartment;Barra da Tijuca;2;1;0;60;1400;750;112
Apartment;Tijuca;3;2;0;108;2000;1000;
Apartment;Laranjeiras;3;0;0;120;3000;440;
Commercial Set;Barra da Tijuca;0;4;0;75;3000;2270;734
Commercial Set;Barra da Tijuca;0;1;0;70;8000;1250;300
Apartment;Barra da Tijuca;2;2;1;100;3000;1400;
Commercial Set;Centro;0;0;0;142;3200;1700;289
Apartment;Bonsucesso;2;0;0;80;1500;440;
Apartment;Maracanã;1;1;0;62;1500;688;53
House;Taquara;1;0;0;60;1000;;
Shed/Warehouse;Portuguesa;0;0;0;120;3300;;
Commercial Set;Copacabana;0;0;0;20;800;365;
Apartment;Barra da Tijuca;3;0;1;130;5800;1800;
Apartment;Leblon;3;2;1;120;9850;;
Apartment;Leme;2;1;0;84;2600;783;
Commercial Set;Tijuca;0;0;0;25;800;620;21
Apartment;Laranjeiras;2;1;0;75;2200;579;
Kitchenette;Leblon;1;0;0;25;1550;360;58
Village House;Cachambi;2;1;0;76;1508;;
Commercial Set;Castelo;0;0;0;31;350;486;45
Apartment;Barra da Tijuca;2;1;2;95;3500;1390;2600
Apartment;Laranjeiras;3;0;0;130;2600;730;
House;Campo Grande;1;0;0;50;400;;
Store/Hall;Barra da Tijuca;0;0;0;37;4500;1213;359
House;Vila da Penha;1;0;0;100;800;;
Commercial Set;Barra da Tijuca;0;1;0;24;700;496;27
Apartment;Copacabana;3;0;2;130;8500;695;100
House;Pilares;2;0;0;65;1100;;
Store/Hall;Flamengo;0;0;0;20;1300;385;
Condominuim House;Recreio dos Bandeirantes;3;2;2;200;3000;;
Apartment;Leblon;2;1;2;80;5500;1275;210
Commercial Set;Largo do Machado;0;0;0;28;1300;380;120
Apartment;Freguesia (Jacarepaguá);2;1;1;71;1800;650;100
Apartment;Barra da Tijuca;4;4;4;364;15000;6100;20300
Commercial Set;Centro;0;0;0;1979;154393;34640;
Apartment;Méier;3;0;0;75;1000;210;15
Apartment;Recreio dos Bandeirantes;3;2;1;100;2500;1200;100
Store/Hall;Barra da Tijuca;0;1;0;60;2500;859;
Commercial Set;Freguesia (Jacarepaguá);0;1;0;39;800;600;56
Apartment;Barra da Tijuca;2;2;0;70;1900;1400;
Apartment;Recreio dos Bandeirantes;3;4;1;218;3300;987;5160
Apartment;Copacabana;2;0;0;84;2300;1050;117
Apartment;Barra da Tijuca;2;1;1;77;2000;966;
Apartment;Barra da Tijuca;1;1;0;60;2700;1580;350
Commercial Set;Centro;0;0;0;25;399;380;78
Commercial Set;Centro;0;0;0;42;1200;1065;164
Apartment;Ipanema;2;1;2;92;7500;3500;1000
Apartment;Lagoa;2;1;1;76;3500;750;207
Commercial Set;Centro;0;0;0;30;400;500;80
Apartment;Recreio dos Bandeirantes;3;2;2;200;3000;815;3500
Apartment;Copacabana;3;2;1;350;14000;1542;402
Apartment;Península;4;2;2;137;5100;2060;281
Commercial Set;Barra da Tijuca;0;1;0;36;2300;1000;2050
Commercial Set;Barra da Tijuca;0;1;0;36;1200;800;150
Commercial Set;Barra da Tijuca;0;1;0;51;2040;1000;
Commercial Set;Centro;0;0;0;577;28845;8942;
Apartment;Freguesia (Jacarepaguá);2;1;1;84;1800;700;1080
Apartment;Copacabana;3;2;1;250;5500;1980;400
Commercial Set;Cachambi;0;1;0;29;800;550;
Apartment;Cachambi;1;1;0;64;900;600;
Apartment;Lagoa;3;2;1;110;5500;1600;516
Kitchenette;Centro;1;0;0;46;800;350;
Apartment;Ipanema;3;1;1;140;7200;2900;863
Commercial Set;Centro;0;0;0;379;15160;5613;1843
Apartment;Recreio dos Bandeirantes;4;0;2;380;4000;1100;
Apartment;Copacabana;2;0;0;72;2000;725;
Apartment;Ipanema;4;2;1;175;13000;2717;1298
Commercial Set;Ipanema;0;1;0;320;15000;7850;2377
Condominuim House;Recreio dos Bandeirantes;6;4;5;650;10000;1134;1487
Commercial Set;Centro;0;0;0;150;1500;2334;320
Commercial Set;Santo Cristo;0;0;0;75;800;;75
Apartment;Praça Seca;2;1;1;66;950;640;74
Apartment;Cachambi;2;0;0;60;900;130;14
Apartment;Copacabana;2;0;0;73;2500;730;
Apartment;Tijuca;1;0;0;40;900;640;21
Commercial Set;Centro;0;0;0;135;4000;1500;610
Commercial Set;Jacarepaguá;0;1;0;40;500;844;53
Commercial Set;Centro;0;0;0;283;9500;3600;1478
Commercial Set;Barra da Tijuca;0;2;0;150;7900;4760;1550
House;Gávea;5;8;5;1000;25000;;14000
Apartment;Freguesia (Jacarepaguá);2;1;1;90;1500;300;82
Apartment;Barra da Tijuca;1;1;0;57;1200;1512;280
Apartment;Flamengo;3;2;1;170;6000;1450;563
Apartment;Urca;1;0;0;45;1700;250;75
Apartment;Barra da Tijuca;3;2;1;220;6000;3300;650
Commercial Set;Del Castilho;0;5;0;150;6900;3800;370
Commercial Set;Cidade Nova;0;0;0;135;3500;;
Shed/Warehouse;Cidade de Deus;0;90;0;7713;80000;;6000
Apartment;Leblon;3;2;1;180;9500;2800;612
Commercial Set;Curicica;0;1;0;22;1100;390;90
Apartment;Urca;2;1;2;92;3500;552;200
Commercial House;Campo Grande;0;0;0;130;2500;;150
Apartment;Recreio dos Bandeirantes;3;1;0;81;1700;639;198
Commercial Set;Barra da Tijuca;0;1;0;31;1600;1068;246
House;Campo Grande;1;0;0;60;450;;20
Kitchenette;Catete;0;0;0;37;1100;676;
Apartment;Copacabana;1;1;0;69;2700;836;166
Apartment;Lagoa;2;1;1;100;2900;1449;420
Commercial Set;Santo Cristo;0;80;0;6000;390000;115000;
Apartment;Barra da Tijuca;3;2;3;160;4500;1500;180
Commercial Set;Barra da Tijuca;0;19;0;950;160664;;
Commercial Set;Freguesia (Jacarepaguá);0;1;0;24;1000;296;
Commercial Set;Barra da Tijuca;0;1;0;29;1600;1100;
Apartment;Tijuca;2;0;0;80;1400;850;
Apartment;Vila da Penha;2;0;0;65;950;;
Shopping Store/Commercial Center;Centro;0;0;0;10;4500;;73
Apartment;Barra da Tijuca;4;3;2;160;5799;2300;330
Apartment;Leblon;2;2;2;140;6000;1800;420
Apartment;Copacabana;1;0;0;45;1700;505;67
House;Oswaldo Cruz;1;0;0;50;700;;
Commercial Set;Centro;0;0;0;58;1244;2235;86
