Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Commercial Set;Recreio dos Bandeirantes;0;8;0;380;18000;5276;1851
Apartment;Botafogo;4;1;1;190;5500;1720;350
Kitchenette;Catete;0;0;0;20;700;500;28
Apartment;Ipanema;4;6;1;700;65000;8860;5699
Apartment;Méier;2;0;0;56;899;402;135
Commercial Set;Centro;0;0;0;270;7000;2800;1249
Apartment;Freguesia (Jacarepaguá);2;1;1;71;1200;600;54
Apartment;Lagoa;3;1;2;105;3600;1100;281
Apartment;Copacabana;3;1;1;500;15000;2580;366
Apartment;Tijuca;3;0;0;87;1600;650;100
Apartment;Botafogo;1;0;0;35;1500;470;50
Commercial Set;Barra da Tijuca;0;1;0;24;700;628;1120
Commercial Set;Tijuca;0;0;0;21;1000;520;116
Apartment;Barra da Tijuca;1;1;1;65;2350;;
Apartment;Ipanema;3;3;1;220;22000;4000;1200
Apartment;Copacabana;3;0;0;100;3300;850;90
Apartment;Barra da Tijuca;3;1;2;93;2500;1100;
Apartment;Engenho Novo;2;2;0;78;800;915;55
Apartment;Barra da Tijuca;2;1;1;85;2500;1573;197
Apartment;Leblon;2;1;1;115;7500;980;270
Apartment;Botafogo;2;1;1;70;3700;1133;147
Apartment;Freguesia (Jacarepaguá);2;1;1;95;1600;650;
Apartment;Barra da Tijuca;4;4;4;392;30000;7000;3000
Commercial House;Botafogo;0;0;0;220;16000;;
Apartment;Campo Grande;2;0;0;60;1200;570;
Apartment;Flamengo;1;0;0;40;1900;430;54
Garage;Tijuca;0;0;0;0;380;;
Apartment;Engenho de Dentro;3;1;1;61;1400;498;
Apartment;Copacabana;3;2;1;250;7000;1500;434
Flat;Copacabana;1;1;0;63;3600;1215;
Flat;Leblon;1;0;1;50;4500;1300;150
Apartment;Ipanema;3;2;1;200;15000;1500;572
Apartment;Copacabana;3;1;0;140;3700;1347;
Store/Hall;Maracanã;0;0;0;85;6500;;385
Apartment;Copacabana;2;0;0;50;2500;750;760
House;Jardim Carioca;3;2;1;135;3000;;
Commercial Set;Recreio dos Bandeirantes;0;1;0;58;2100;495;140
Apartment;Tijuca;3;1;1;78;2500;730;178
Commercial Set;Copacabana;0;2;0;210;25200;6300;1890
Kitchenette;Centro;0;0;0;28;700;400;16
Apartment;Lagoa;3;1;1;75;4000;1250;309
Commercial Set;Tijuca;0;1;0;32;900;450;
